// bulldozer storage "level2" last updated 16-11-2015 03:34:13
nextlevel = "level3"
"a20" 4 0
"b20" 4 0
"c20" 4 0
"d20" 4 0
"e20" 4 0
"r13" 5 0
"f20" 4 0
"g20" 4 0
"c12" 5 0
"h20" 4 0
"c13" 5 0
"i20" 4 0
"c14" 5 0
"j20" 4 0
"c15" 5 0
"k20" 4 0
"c16" 5 0
"l20" 4 0
"c17" 5 0
"m20" 4 0
"c18" 5 0
"n20" 4 0
"c19" 5 0
"o20" 4 0
"r18" 5 0
"p20" 4 0
"r17" 5 0
"q20" 4 0
"r12" 5 0
"r20" 4 0
"r15" 5 0
"r14" 5 0
"s20" 4 0
"t20" 4 0
"t19" 4 0
"t18" 4 0
"t17" 4 0
"t16" 4 0
"t15" 4 0
"t14" 4 0
"t13" 4 0
"t9" 4 0
"s9" 4 0
"r9" 4 0
"q9" 4 0
"p9" 4 0
"o9" 4 0
"n9" 4 0
"m9" 4 0
"l9" 4 0
"k9" 4 0
"j9" 4 0
"i9" 4 0
"h9" 4 0
"g9" 4 0
"f9" 4 0
"e9" 4 0
"d9" 4 0
"c9" 4 0
"b9" 4 0
"a9" 4 0
"a10" 4 0
"a11" 4 0
"a12" 4 0
"a13" 4 0
"a14" 4 0
"a15" 4 0
"a16" 4 0
"a17" 4 0
"a18" 4 0
"a19" 4 0
"t12" 4 0
"t11" 4 0
"t10" 4 0
"k4" 4 0
"t3" 4 0
"s4" 4 0
"t2" 4 0
"l5" 4 0
"j6" 4 0
"r11" 5 0
"r6" 4 0
"r10" 5 0
"b7" 5 0
"i6" 4 0
"a7" 5 0
"a2" 4 0
"c4" 5 0
"b8" 4 0
"a6" 5 0
"o6" 4 0
"p6" 4 0
"a5" 5 0
"l7" 4 0
"l6" 4 0
"t6" 4 0
"t5" 4 0
"b19" 2 0
"k5" 4 0
"b18" 2 0
"p5" 4 0
"j4" 4 0
"k15" 1 1
"g16" 3 0
"g12" 3 0
"l3" 4 0
"b3" 5 0
"i5" 4 0
"c8" 4 0
"c5" 5 0
"c6" 5 0
"a4" 5 0
"a3" 5 0
"a8" 4 0
"c3" 4 0
"c7" 4 0
"k6" 5 0
"d6" 4 0
"e7" 5 0
"e6" 5 0
"s10" 2 0
"d5" 4 0
"s11" 2 0
"d4" 4 0
"o17" 3 0
"o13" 3 0
"l4" 4 0
"h7" 4 0
"o4" 4 0
"p4" 4 0
"t4" 4 0
"h6" 4 0
"h5" 4 0
"h4" 4 0
"h3" 4 0
"f4" 4 0
"f5" 4 0
"f6" 4 0
"n6" 4 0
"d3" 4 0
"o5" 4 0
"n4" 4 0
"e5" 5 0
"b2" 4 0
"c2" 4 0
"d2" 4 0
"e2" 4 0
"f2" 4 0
"g2" 4 0
"h2" 4 0
"i2" 4 0
"j2" 4 0
"k2" 4 0
"l2" 4 0
"m2" 4 0
"n2" 4 0
"o2" 4 0
"p2" 4 0
"q2" 4 0
"r2" 4 0
"s2" 4 0
"t1" 4 0
"s1" 4 0
"r1" 4 0
"q1" 4 0
"p1" 4 0
"o1" 4 0
"n1" 4 0
"m1" 4 0
"l1" 4 0
"k1" 4 0
"j1" 4 0
"i1" 4 0
"h1" 4 0
"g1" 4 0
"f1" 4 0
"e1" 4 0
"d1" 4 0
"c1" 4 0
"b1" 4 0
"a1" 4 0
"t7" 4 0
"p3" 4 0
"p7" 4 0
"d7" 4 0
"r3" 4 0
"e4" 5 0
"e3" 5 0
"f3" 5 0
"d8" 4 0
"e8" 4 0
"f8" 4 0
"g8" 4 0
"h8" 4 0
"i8" 4 0
"j8" 4 0
"k8" 4 0
"l8" 4 0
"m8" 4 0
"n8" 4 0
"o8" 4 0
"p8" 4 0
"q8" 4 0
"r8" 4 0
"s8" 4 0
"t8" 4 0
"g3" 5 0
"g7" 5 0
"g4" 5 0
"g6" 5 0
"g5" 5 0
"f7" 5 0
"j5" 5 0
"i7" 5 0
"j7" 5 0
"k7" 5 0
"i4" 5 0
"i3" 5 0
"j3" 5 0
"k3" 5 0
"m7" 5 0
"m6" 5 0
"m4" 5 0
"m5" 5 0
"m3" 5 0
"n3" 5 0
"o3" 5 0
"n5" 5 0
"n7" 5 0
"o7" 5 0
"q7" 5 0
"q6" 5 0
"q4" 5 0
"q5" 5 0
"q3" 5 0
"r5" 5 0
"r4" 5 0
"s3" 5 0
"s5" 5 0
"s6" 5 0
"s7" 5 0
"r7" 5 0
"b6" 4 0
"b5" 4 0
"b4" 4 0
