// bulldozer storage "level13" last updated 11-06-2016 15:20:23
nextlevel = "level14"
"a10" 5 0
"a8" 5 0
"a9" 5 0
"a11" 5 0
"b11" 5 0
"d13" 5 0
"c11" 5 0
"c12" 5 0
"c13" 5 0
"e13" 5 0
"e14" 5 0
"e15" 5 0
"e16" 5 0
"f16" 5 0
"g16" 5 0
"h16" 5 0
"i16" 5 0
"i15" 5 0
"i14" 5 0
"i13" 5 0
"j13" 5 0
"j12" 5 0
"j11" 5 0
"j10" 5 0
"k10" 5 0
"l10" 5 0
"n10" 5 0
"m10" 5 0
"n11" 5 0
"o11" 5 0
"p11" 5 0
"q11" 5 0
"r11" 5 0
"s11" 5 0
"s10" 5 0
"s8" 5 0
"s9" 5 0
"s7" 5 0
"r7" 5 0
"q7" 5 0
"p7" 5 0
"o7" 5 0
"n7" 5 0
"m7" 5 0
"l7" 5 0
"k7" 5 0
"k8" 5 0
"m8" 5 0
"n8" 5 0
"k6" 5 0
"j6" 5 0
"i6" 5 0
"b8" 5 0
"c8" 5 0
"d8" 5 0
"e8" 5 0
"e7" 5 0
"e6" 5 0
"f6" 5 0
"g6" 5 0
"h6" 5 0
"e11" 8 0
"e10" 8 0
"g11" 8 0
"g10" 8 0
"h10" 8 0
"h11" 8 0
"g8" 8 0
"h8" 8 0
"i8" 8 0
"b15" 8 0
"o12" 11 0
"n13" 11 0
"m14" 11 0
"l15" 11 0
"k16" 11 0
"m16" 11 0
"n15" 11 0
"o16" 11 0
"p15" 11 0
"q16" 11 0
"r15" 11 0
"s16" 11 0
"q14" 11 0
"p13" 11 0
"o14" 11 0
"j19" 4 0
"i19" 4 0
"h19" 4 0
"g19" 4 0
"f19" 4 0
"e19" 4 0
"d19" 4 0
"c19" 4 0
"b19" 4 0
"a19" 4 0
"a18" 4 0
"b18" 4 0
"c18" 4 0
"d18" 4 0
"e18" 4 0
"f18" 4 0
"g18" 4 0
"h18" 4 0
"i18" 4 0
"j18" 4 0
"k18" 4 0
"l18" 4 0
"m18" 4 0
"n18" 4 0
"o18" 4 0
"p18" 4 0
"q18" 4 0
"r18" 4 0
"s18" 4 0
"t18" 4 0
"t17" 4 0
"s17" 4 0
"r17" 4 0
"q17" 4 0
"p17" 4 0
"o17" 4 0
"n17" 4 0
"m17" 4 0
"l17" 4 0
"k17" 4 0
"j17" 4 0
"i17" 4 0
"h17" 4 0
"g17" 4 0
"f17" 4 0
"e17" 4 0
"d17" 4 0
"c17" 4 0
"b17" 4 0
