// bulldozer storage "level4" last updated 16-11-2015 05:09:50
nextlevel = "level5"
"k10" 9 0
"k11" 9 0
"k13" 9 0
"j14" 9 0
"k14" 9 0
"k8" 5 0
"k9" 5 0
"k7" 5 0
"m8" 4 0
"l14" 9 0
"i14" 9 0
"m12" 1 1
"l11" 2 0
"m11" 2 0
"m10" 2 0
"l10" 2 0
"k12" 3 0
"m16" 5 0
"l16" 5 0
"k16" 5 0
"j4" 4 0
"i4" 4 0
"h4" 4 0
"g4" 4 0
"f4" 4 0
"e4" 4 0
"d4" 4 0
"c4" 4 0
"b4" 4 0
"h11" 3 0
"f20" 4 0
"f19" 4 0
"f17" 4 0
"f18" 4 0
"h16" 5 0
"f16" 4 0
"f15" 4 0
"f14" 5 0
"g14" 5 0
"e13" 4 0
"e12" 4 0
"e11" 4 0
"e10" 4 0
"e9" 4 0
"e8" 4 0
"e7" 4 0
"f9" 5 0
"f7" 5 0
"f8" 5 0
"f10" 5 0
"g7" 5 0
"h12" 3 0
"m14" 3 0
"a4" 4 0
"a3" 4 0
"b3" 4 0
"c3" 4 0
"d3" 4 0
"e3" 4 0
"f3" 4 0
"g3" 4 0
"h3" 4 0
"i3" 4 0
"j3" 4 0
"k3" 4 0
"l3" 4 0
"m3" 4 0
"n3" 4 0
"o3" 4 0
"p3" 4 0
"q3" 4 0
"r3" 4 0
"s3" 4 0
"t3" 4 0
"t2" 4 0
"s2" 4 0
"r2" 4 0
"q2" 4 0
"p2" 4 0
"o2" 4 0
"n2" 4 0
"m2" 4 0
"l2" 4 0
"k2" 4 0
"j2" 4 0
"i2" 4 0
"h2" 4 0
"g2" 4 0
"f2" 4 0
"e2" 4 0
"d2" 4 0
"c2" 4 0
"b2" 4 0
"a2" 4 0
"a1" 4 0
"b1" 4 0
"c1" 4 0
"d1" 4 0
"e1" 4 0
"f1" 4 0
"g1" 4 0
"h1" 4 0
"i1" 4 0
"j1" 4 0
"k1" 4 0
"l1" 4 0
"m1" 4 0
"n1" 4 0
"o1" 4 0
"p1" 4 0
"q1" 4 0
"r1" 4 0
"s1" 4 0
"t1" 4 0
"t4" 4 0
"s4" 4 0
"r4" 4 0
"q4" 4 0
"p4" 4 0
"o4" 4 0
"n4" 4 0
"m4" 4 0
"l4" 4 0
"k4" 4 0
"k5" 4 0
"j5" 4 0
"i5" 4 0
"h5" 4 0
