// bulldozer storage "level5" last updated 17-11-2015 21:42:14
nextlevel = "level6"
"a7" 4 0
"c18" 6 0
"a19" 4 0
"d17" 6 0
"c19" 4 0
"d19" 4 0
"e19" 4 0
"f19" 4 0
"g19" 4 0
"h19" 4 0
"i19" 4 0
"j19" 4 0
"k19" 4 0
"l19" 4 0
"m19" 4 0
"n19" 4 0
"o19" 4 0
"p19" 4 0
"q19" 4 0
"r19" 4 0
"q17" 6 0
"t19" 4 0
"e10" 4 0
"e18" 4 0
"p8" 4 0
"e17" 4 0
"e16" 4 0
"e8" 4 0
"e9" 4 0
"e15" 4 0
"e13" 4 0
"e12" 4 0
"e11" 4 0
"e7" 4 0
"d7" 4 0
"c7" 4 0
"b7" 4 0
"e14" 4 0
"f17" 4 0
"o7" 4 0
"f6" 4 0
"i6" 4 0
"g6" 4 0
"h6" 4 0
"k6" 4 0
"j6" 4 0
"l6" 4 0
"m6" 4 0
"p7" 4 0
"p9" 4 0
"p10" 4 0
"p11" 4 0
"p12" 4 0
"p13" 4 0
"p14" 4 0
"o15" 4 0
"p16" 4 0
"p17" 4 0
"p18" 4 0
"q7" 4 0
"r7" 4 0
"s7" 4 0
"t7" 4 0
"c13" 4 0
"b13" 4 0
"a13" 4 0
"a12" 4 0
"b12" 4 0
"c12" 4 0
"d12" 4 0
"d11" 4 0
"c11" 4 0
"b11" 4 0
"a11" 4 0
"a10" 4 0
"b10" 4 0
"c10" 4 0
"d10" 4 0
"d9" 4 0
"c9" 4 0
"b9" 4 0
"a9" 4 0
"a8" 4 0
"b8" 4 0
"c8" 4 0
"d8" 4 0
"d13" 4 0
"d14" 4 0
"c14" 4 0
"b14" 4 0
"a14" 4 0
"a15" 4 0
"b15" 4 0
"c15" 4 0
"d15" 4 0
"d16" 4 0
"c16" 4 0
"b16" 4 0
"a16" 4 0
"a17" 4 0
"b17" 4 0
"c17" 4 0
"a1" 6 0
"d18" 4 0
"b2" 6 0
"b18" 4 0
"a18" 4 0
"f20" 4 0
"e20" 4 0
