// bulldozer storage "level11" last updated 11-06-2016 15:03:24
nextlevel = "level12"
"e6" 5 0
"f6" 5 0
"g6" 5 0
"h6" 5 0
"i6" 5 0
"j6" 5 0
"k6" 5 0
"l6" 5 0
"m6" 5 0
"n6" 5 0
"o6" 5 0
"p6" 5 0
"e7" 5 0
"e8" 5 0
"e9" 5 0
"d9" 5 0
"d10" 5 0
"d11" 5 0
"d12" 5 0
"d13" 5 0
"d14" 5 0
"d15" 5 0
"e15" 5 0
"f15" 5 0
"g15" 5 0
"h16" 5 0
"g16" 5 0
"i16" 5 0
"j16" 5 0
"k16" 5 0
"l16" 5 0
"m16" 5 0
"m15" 5 0
"m14" 5 0
"m13" 5 0
"n13" 5 0
"n12" 5 0
"n11" 5 0
"n10" 5 0
"n9" 5 0
"o9" 5 0
"p9" 5 0
"p8" 5 0
"p7" 5 0
"a20" 10 0
"a19" 10 0
"a18" 10 0
"a17" 10 0
"a16" 10 0
"a15" 10 0
"a14" 10 0
"a13" 10 0
"a12" 10 0
"a11" 10 0
"a10" 10 0
"a9" 10 0
"a8" 10 0
"a7" 10 0
"a6" 10 0
"a5" 10 0
"a4" 10 0
"a3" 10 0
"a2" 10 0
"a1" 10 0
"t20" 10 0
"t19" 10 0
"t18" 10 0
"t17" 10 0
"t16" 10 0
"t15" 10 0
"t14" 10 0
"t12" 10 0
"t11" 10 0
"t10" 10 0
"t9" 10 0
"t8" 10 0
"t7" 10 0
"t6" 10 0
"t5" 10 0
"t4" 10 0
"t3" 10 0
"t2" 10 0
"t1" 10 0
"t13" 10 0
"e3" 4 0
"d3" 4 0
"c3" 4 0
"b3" 4 0
"b2" 4 0
"c2" 4 0
"d2" 4 0
"e2" 4 0
"f2" 4 0
"g2" 4 0
"h2" 4 0
"i2" 4 0
"j2" 4 0
"k2" 4 0
"l2" 4 0
"m2" 4 0
"n2" 4 0
"o2" 4 0
"p2" 4 0
"q2" 4 0
"r2" 4 0
"s2" 4 0
"s1" 4 0
"r1" 4 0
"q1" 4 0
"p1" 4 0
"o1" 4 0
"n1" 4 0
"m1" 4 0
"l1" 4 0
"k1" 4 0
"j1" 4 0
"i1" 4 0
"h1" 4 0
"g1" 4 0
"f1" 4 0
"e1" 4 0
"d1" 4 0
"c1" 4 0
"b1" 4 0
"s3" 4 0
"r3" 4 0
"q3" 4 0
"p3" 4 0
"o3" 4 0
"n3" 4 0
"m3" 4 0
"l3" 4 0
"k3" 4 0
"j3" 4 0
"i3" 4 0
"h3" 4 0
"g3" 4 0
"f3" 4 0
"f4" 4 0
"e4" 4 0
"d4" 4 0
"c4" 4 0
"b4" 4 0
"b5" 4 0
"c5" 4 0
"d5" 4 0
"e5" 4 0
"f5" 4 0
"g5" 4 0
"h5" 4 0
"i5" 4 0
"j5" 4 0
"k5" 4 0
"l5" 4 0
"m5" 4 0
"n5" 4 0
"o5" 4 0
"p5" 4 0
"q5" 4 0
"r5" 4 0
"s5" 4 0
"s4" 4 0
"r4" 4 0
"q4" 4 0
"p4" 4 0
"o4" 4 0
"n4" 4 0
"m4" 4 0
"l4" 4 0
"k4" 4 0
"j4" 4 0
"i4" 4 0
"h4" 4 0
"g4" 4 0
"s6" 4 0
"r6" 4 0
"q6" 4 0
"q7" 4 0
"r7" 4 0
"s7" 4 0
"s8" 4 0
"r8" 4 0
"q8" 4 0
"q9" 4 0
"r9" 4 0
"s9" 4 0
"s10" 4 0
"r10" 4 0
"q10" 4 0
"p10" 4 0
"o10" 4 0
"o11" 4 0
"p11" 4 0
"q11" 4 0
"r11" 4 0
"s11" 4 0
"s12" 4 0
"r12" 4 0
"q12" 4 0
"p12" 4 0
"o12" 4 0
"o13" 4 0
"p13" 4 0
"q13" 4 0
"r13" 4 0
"s13" 4 0
"s14" 4 0
"r14" 4 0
"q14" 4 0
"p14" 4 0
"o14" 4 0
"n14" 4 0
"n15" 4 0
"o15" 4 0
"p15" 4 0
"q15" 4 0
"r15" 4 0
"s15" 4 0
"s16" 4 0
"r16" 4 0
"q16" 4 0
"p16" 4 0
"o16" 4 0
"n16" 4 0
"n17" 4 0
"m17" 4 0
"l17" 4 0
"k17" 4 0
"j17" 4 0
"i17" 4 0
"h17" 4 0
"g17" 4 0
"f17" 4 0
"e17" 4 0
"d17" 4 0
"c17" 4 0
"b17" 4 0
"b16" 4 0
"c16" 4 0
"d16" 4 0
"e16" 4 0
"f16" 4 0
"c15" 4 0
"b15" 4 0
"b14" 4 0
"c14" 4 0
"c13" 4 0
"b13" 4 0
"b12" 4 0
"c12" 4 0
"c11" 4 0
"b11" 4 0
"b10" 4 0
"c10" 4 0
"c9" 4 0
"b9" 4 0
"b8" 4 0
"c8" 4 0
"d8" 4 0
"d7" 4 0
"c7" 4 0
"b7" 4 0
"b6" 4 0
"c6" 4 0
"d6" 4 0
"b18" 4 0
"c18" 4 0
"d18" 4 0
"e18" 4 0
"f18" 4 0
"g18" 4 0
"h18" 4 0
"i18" 4 0
"j18" 4 0
"k18" 4 0
"l18" 4 0
"m18" 4 0
"n18" 4 0
"o18" 4 0
"p18" 4 0
"q18" 4 0
"r18" 4 0
"s18" 4 0
"s17" 4 0
"r17" 4 0
"q17" 4 0
"p17" 4 0
"o17" 4 0
"s19" 4 0
"r19" 4 0
"q19" 4 0
"p19" 4 0
"o19" 4 0
"n19" 4 0
"m19" 4 0
"l19" 4 0
"k19" 4 0
"j19" 4 0
"i19" 4 0
"h19" 4 0
"g19" 4 0
"f19" 4 0
"e19" 4 0
"d19" 4 0
"c19" 4 0
"b19" 4 0
"b20" 4 0
"c20" 4 0
"d20" 4 0
"e20" 4 0
"f20" 4 0
"g20" 4 0
"h20" 4 0
"i20" 4 0
"j20" 4 0
"k20" 4 0
"l20" 4 0
"m20" 4 0
"n20" 4 0
"o20" 4 0
"p20" 4 0
"q20" 4 0
"r20" 4 0
"s20" 4 0
"f13" 5 0
"f12" 5 0
"f11" 5 0
"g10" 5 0
"h13" 5 0
"i14" 5 0
"j14" 5 0
"k14" 5 0
"k12" 5 0
"l11" 5 0
"l10" 5 0
"l9" 5 0
"l7" 5 0
"k7" 5 0
"g8" 5 0
"i8" 5 0
"h8" 5 0
"j9" 5 0
"l8" 1 1
"j8" 2 0
"i11" 2 0
"f10" 2 0
"h14" 2 0
"l12" 2 0
"h10" 3 0
"i11" 3 0
"h12" 3 0
