// bulldozer storage "level6" last updated 06-12-2015 16:11:35
nextlevel = "level7"
"g13" 5 0
"f13" 5 0
"f12" 5 0
"f11" 5 0
"f10" 5 0
"g10" 5 0
"i9" 5 0
"g9" 5 0
"h9" 5 0
"j9" 5 0
"k9" 5 0
"l9" 5 0
"m9" 5 0
"n9" 5 0
"n10" 5 0
"o12" 5 0
"n11" 5 0
"o11" 5 0
"n14" 5 0
"o13" 5 0
"o14" 5 0
"m14" 5 0
"l15" 5 0
"m15" 5 0
"g14" 5 0
"g15" 5 0
"h15" 5 0
"i15" 5 0
"j15" 5 0
"k15" 5 0
"i13" 5 0
"j13" 5 0
"k13" 5 0
"j10" 5 0
"j11" 5 0
"h10" 2 0
"i10" 2 0
"h11" 2 0
"i11" 2 0
"g12" 1 1
"h13" 3 0
"j12" 3 0
"l11" 3 0
"m12" 3 0
"b2" 4 0
"b3" 4 0
"c3" 4 0
"c2" 4 0
"b19" 4 0
"b18" 4 0
"c18" 4 0
"c19" 4 0
"r19" 4 0
"r18" 4 0
"s18" 4 0
"s19" 4 0
"r2" 4 0
"r3" 4 0
"s3" 4 0
"s2" 4 0
"f5" 6 0
"e5" 6 0
"d5" 6 0
"c5" 6 0
"b5" 6 0
"a5" 6 0
"a4" 6 0
"b4" 6 0
"c4" 6 0
"d4" 6 0
"e4" 6 0
"f4" 6 0
"g4" 6 0
"h4" 6 0
"i4" 6 0
"j4" 6 0
"k4" 6 0
"l4" 6 0
"m4" 6 0
"n4" 6 0
"o4" 6 0
"p4" 6 0
"q4" 6 0
"r4" 6 0
"s4" 6 0
"t4" 6 0
"t3" 6 0
"t2" 6 0
"t1" 6 0
"s1" 6 0
"r1" 6 0
"q1" 6 0
"p1" 6 0
"o1" 6 0
"n1" 6 0
"m1" 6 0
"l1" 6 0
"k1" 6 0
"j1" 6 0
"i1" 6 0
"h1" 6 0
"g1" 6 0
"f1" 6 0
"e1" 6 0
"d1" 6 0
"c1" 6 0
"b1" 6 0
"a1" 6 0
"a2" 6 0
"a3" 6 0
"d2" 6 0
"e2" 6 0
"f2" 6 0
"g2" 6 0
"h2" 6 0
"i2" 6 0
"j2" 6 0
"k2" 6 0
"l2" 6 0
"m2" 6 0
"n2" 6 0
"o2" 6 0
"p2" 6 0
"q2" 6 0
"q3" 6 0
"p3" 6 0
"o3" 6 0
"n3" 6 0
"m3" 6 0
"l3" 6 0
"k3" 6 0
"j3" 6 0
"i3" 6 0
"h3" 6 0
"g3" 6 0
"f3" 6 0
"e3" 6 0
"d3" 6 0
"t5" 6 0
"s5" 6 0
"r5" 6 0
"q5" 6 0
"p5" 6 0
"o5" 6 0
"n5" 6 0
"m5" 6 0
"l5" 6 0
"k5" 6 0
"j5" 6 0
"i5" 6 0
"h5" 6 0
"g5" 6 0
"g6" 6 0
"f6" 6 0
"e6" 6 0
"d6" 6 0
"c6" 6 0
"b6" 6 0
"a6" 6 0
"a7" 6 0
"b7" 6 0
"c7" 6 0
"d7" 6 0
"e7" 6 0
"f7" 6 0
"g7" 6 0
"h7" 6 0
"i7" 6 0
"j7" 6 0
"k7" 6 0
"l7" 6 0
"m7" 6 0
"n7" 6 0
"o7" 6 0
"p7" 6 0
"q7" 6 0
"r7" 6 0
"s7" 6 0
"t7" 6 0
"t6" 6 0
"s6" 6 0
"r6" 6 0
"q6" 6 0
"p6" 6 0
"o6" 6 0
"n6" 6 0
"m6" 6 0
"l6" 6 0
"k6" 6 0
"j6" 6 0
"i6" 6 0
"h6" 6 0
"t8" 6 0
"s8" 6 0
"r8" 6 0
"q8" 6 0
"p8" 6 0
"o8" 6 0
"n8" 6 0
"m8" 6 0
"l8" 6 0
"k8" 6 0
"j8" 6 0
"i8" 6 0
"h8" 6 0
"g8" 6 0
"f8" 6 0
"e8" 6 0
"d8" 6 0
"c8" 6 0
"b8" 6 0
"a8" 6 0
"a9" 6 0
"b9" 6 0
"c9" 6 0
"d9" 6 0
"e9" 6 0
"f9" 6 0
"e10" 6 0
"d10" 6 0
"c10" 6 0
"b10" 6 0
"a10" 6 0
"a11" 6 0
"b11" 6 0
"c11" 6 0
"d11" 6 0
"e11" 6 0
"e12" 6 0
"d12" 6 0
"c12" 6 0
"b12" 6 0
"a12" 6 0
"a13" 6 0
"b13" 6 0
"c13" 6 0
"d13" 6 0
"e13" 6 0
"e14" 6 0
"d14" 6 0
"c14" 6 0
"b14" 6 0
"a14" 6 0
"a15" 6 0
"b15" 6 0
"c15" 6 0
"d15" 6 0
"e15" 6 0
"f15" 6 0
"f14" 6 0
"f16" 6 0
"e16" 6 0
"d16" 6 0
"c16" 6 0
"b16" 6 0
"a16" 6 0
"a17" 6 0
