// bulldozer storage "level12" last updated 11-06-2016 15:11:43
nextlevel = "level13"
"b18" 4 0
"c18" 4 0
"d18" 4 0
"e18" 4 0
"f18" 4 0
"g18" 4 0
"h18" 4 0
"i18" 4 0
"j18" 4 0
"k18" 4 0
"l18" 4 0
"m18" 4 0
"n18" 4 0
"o18" 4 0
"p18" 4 0
"q18" 4 0
"r18" 4 0
"s18" 4 0
"t7" 11 0
"t17" 4 0
"t16" 4 0
"t15" 4 0
"t14" 4 0
"t13" 4 0
"t12" 4 0
"t11" 4 0
"t10" 4 0
"t9" 4 0
"b7" 4 0
"c7" 4 0
"a18" 11 0
"a17" 4 0
"a16" 4 0
"a15" 4 0
"a14" 4 0
"a13" 4 0
"a12" 4 0
"a11" 4 0
"a10" 4 0
"a9" 4 0
"a8" 4 0
"d17" 5 0
"t8" 4 0
"a7" 11 0
"s7" 4 0
"r7" 4 0
"q7" 4 0
"p7" 4 0
"o7" 4 0
"n7" 4 0
"l7" 4 0
"k7" 4 0
"j7" 4 0
"i7" 4 0
"h7" 4 0
"g7" 4 0
"f7" 4 0
"e7" 4 0
"d7" 4 0
"m7" 4 0
"c5" 4 0
"b5" 4 0
"a5" 4 0
"a4" 4 0
"b4" 4 0
"c4" 4 0
"d4" 4 0
"e4" 4 0
"f4" 4 0
"g4" 4 0
"h4" 4 0
"i4" 4 0
"j4" 4 0
"k4" 4 0
"l4" 4 0
"m4" 4 0
"n4" 4 0
"o4" 4 0
"p4" 4 0
"q4" 4 0
"r4" 4 0
"s4" 4 0
"t4" 4 0
"t3" 4 0
"s3" 4 0
"r3" 4 0
"q3" 4 0
"p3" 4 0
"o3" 4 0
"n3" 4 0
"m3" 4 0
"l3" 4 0
"k3" 4 0
"j3" 4 0
"i3" 4 0
"h3" 4 0
"g3" 4 0
"f3" 4 0
"e3" 4 0
"d3" 4 0
"c3" 4 0
"b3" 4 0
"a3" 4 0
"a2" 4 0
"b2" 4 0
"c2" 4 0
"d2" 4 0
"e2" 4 0
"f2" 4 0
"g2" 4 0
"h2" 4 0
"i2" 4 0
"j2" 4 0
"k2" 4 0
"l2" 4 0
"m2" 4 0
"n2" 4 0
"o2" 4 0
"p2" 4 0
"q2" 4 0
"r2" 4 0
"s2" 4 0
"t2" 4 0
"t1" 4 0
"s1" 4 0
"r1" 4 0
"q1" 4 0
"p1" 4 0
"o1" 4 0
"n1" 4 0
"m1" 4 0
"l1" 4 0
"k1" 4 0
"j1" 4 0
"i1" 4 0
"h1" 4 0
"g1" 4 0
"f1" 4 0
"e1" 4 0
"d1" 4 0
"c1" 4 0
"b1" 4 0
"a1" 4 0
"t5" 4 0
"s5" 4 0
"r5" 4 0
"q5" 4 0
"p5" 4 0
"o5" 4 0
"n5" 4 0
"m5" 4 0
"l5" 4 0
"k5" 4 0
"j5" 4 0
"i5" 4 0
"h5" 4 0
"g5" 4 0
"f5" 4 0
"e5" 4 0
"d5" 4 0
"d6" 4 0
"c6" 4 0
"b6" 4 0
"a6" 4 0
"e6" 4 0
"f6" 4 0
"g6" 4 0
"h6" 4 0
"i6" 4 0
"j6" 4 0
"k6" 4 0
"l6" 4 0
"m6" 4 0
"n6" 4 0
"o6" 4 0
"p6" 4 0
"q6" 4 0
"r6" 4 0
"s6" 4 0
"t6" 4 0
"b19" 4 0
"a19" 4 0
"a20" 4 0
"b20" 4 0
"c20" 4 0
"d20" 4 0
"e20" 4 0
"f20" 4 0
"g20" 4 0
"h20" 4 0
"i20" 4 0
"j20" 4 0
"k20" 4 0
"l20" 4 0
"m20" 4 0
"n20" 4 0
"o20" 4 0
"p20" 4 0
"q20" 4 0
"r20" 4 0
"s20" 4 0
"t20" 4 0
"t19" 4 0
"s19" 4 0
"r19" 4 0
"q19" 4 0
"p19" 4 0
"o19" 4 0
"n19" 4 0
"m19" 4 0
"l19" 4 0
"k19" 4 0
"j19" 4 0
"i19" 4 0
"h19" 4 0
"g19" 4 0
"f19" 4 0
"e19" 4 0
"d19" 4 0
"c19" 4 0
"t18" 11 0
"d16" 5 0
"e13" 5 0
"d15" 5 0
"d14" 5 0
"d13" 5 0
"e12" 5 0
"g11" 5 0
"e11" 5 0
"g12" 5 0
"g13" 5 0
"g14" 5 0
"h14" 5 0
"i14" 5 0
"i13" 5 0
"i12" 5 0
"i11" 5 0
"g10" 5 0
"i10" 5 0
"h10" 5 0
"h11" 10 0
"h12" 10 0
"h13" 10 0
"d8" 5 0
"d9" 5 0
"e17" 5 0
"f17" 5 0
"g17" 5 0
"h17" 5 0
"i17" 5 0
"i16" 5 0
"m17" 5 0
"n17" 5 0
"o17" 5 0
"l15" 5 0
"m15" 5 0
"o15" 5 0
"n15" 5 0
"p15" 5 0
"p14" 5 0
"q14" 5 0
"r14" 5 0
"s14" 8 0
"r13" 8 0
"q12" 8 0
"p11" 8 0
"o10" 8 0
"n9" 8 0
"m8" 8 0
"m9" 5 0
"m11" 5 0
"m14" 5 0
"m13" 5 0
"q9" 4 0
"p9" 4 0
"o9" 4 0
"o8" 4 0
"n8" 4 0
"p8" 4 0
"q8" 4 0
"r8" 4 0
"s8" 4 0
"s9" 4 0
"r9" 4 0
"r10" 4 0
"q10" 4 0
"p10" 4 0
"q11" 4 0
"r11" 4 0
"s11" 4 0
"s10" 4 0
"s12" 4 0
"r12" 4 0
"s13" 4 0
"f15" 1 1
"q16" 2 0
"q15" 2 0
"r15" 2 0
"r16" 2 0
"s16" 2 0
"s15" 2 0
"s17" 2 0
"b9" 2 0
"c8" 2 0
"n10" 2 0
"o11" 2 0
"p12" 2 0
"q13" 2 0
"c15" 3 0
"b11" 3 0
"c13" 3 0
"d11" 3 0
"c9" 3 0
"j16" 3 0
"j14" 3 0
"k13" 3 0
"j12" 3 0
"k11" 3 0
"j10" 3 0
"n16" 3 0
"o13" 3 0
