// bulldozer storage "level7" last updated 06-12-2015 16:19:03
nextlevel = "level8"
"g10" 5 0
"g9" 5 0
"g8" 5 0
"g11" 5 0
"g12" 5 0
"h8" 5 0
"i8" 5 0
"j8" 5 0
"l8" 5 0
"k8" 5 0
"m8" 5 0
"n8" 5 0
"n9" 5 0
"n10" 5 0
"n11" 5 0
"n12" 5 0
"m12" 5 0
"m13" 5 0
"m14" 5 0
"h12" 5 0
"h13" 5 0
"h14" 5 0
"h15" 5 0
"i15" 5 0
"j15" 5 0
"k15" 5 0
"k14" 5 0
"l14" 5 0
"k12" 5 0
"k11" 5 0
"i12" 5 0
"i11" 5 0
"l10" 5 0
"j14" 1 1
"j13" 3 0
"i10" 3 0
"l9" 3 0
"h11" 2 0
"h10" 2 0
"h9" 2 0
"a19" 6 0
"b20" 6 0
"b18" 6 0
"a17" 6 0
"b16" 6 0
"a15" 6 0
"b14" 6 0
"a13" 6 0
"b12" 6 0
"a10" 11 0
"b10" 6 0
"a7" 6 0
"a9" 6 0
"b8" 6 0
"b6" 6 0
"a5" 6 0
"b4" 6 0
"a3" 6 0
"b2" 6 0
"a1" 6 0
"c1" 6 0
"d2" 6 0
"e1" 6 0
"c3" 6 0
"c5" 6 0
"c7" 6 0
"c9" 6 0
"c11" 6 0
"c13" 6 0
"c15" 6 0
"c17" 6 0
"c19" 6 0
"d20" 6 0
"d18" 6 0
"d16" 6 0
"d14" 6 0
"d12" 6 0
"d10" 6 0
"d8" 6 0
"d6" 6 0
"d4" 6 0
"e3" 6 0
"e9" 6 0
"e5" 6 0
"e7" 6 0
"e11" 6 0
"e13" 6 0
"e15" 6 0
"e17" 6 0
"e19" 6 0
"a20" 11 0
"b19" 11 0
"a18" 11 0
"a16" 11 0
"a14" 11 0
"a12" 11 0
"a8" 11 0
"a6" 11 0
"a4" 11 0
"a2" 11 0
"b1" 11 0
"b3" 11 0
"b5" 11 0
"b7" 11 0
"b9" 11 0
"b11" 11 0
"b13" 11 0
"b15" 11 0
"b17" 11 0
"c20" 11 0
"c18" 11 0
"c16" 11 0
"c14" 11 0
"c12" 11 0
"c10" 11 0
"c8" 11 0
"c6" 11 0
"c4" 11 0
"c2" 11 0
"d1" 11 0
"d3" 11 0
"d5" 11 0
"d7" 11 0
"d9" 11 0
"d11" 11 0
"d13" 11 0
"d15" 11 0
"d17" 11 0
"d19" 11 0
"e20" 11 0
"e18" 11 0
"e16" 11 0
"e14" 11 0
"e12" 11 0
"e10" 11 0
"e8" 11 0
"e6" 11 0
"e4" 11 0
"e2" 11 0
"a11" 6 0
"p1" 6 0
"p3" 6 0
"p5" 6 0
"p7" 6 0
"p9" 6 0
"p15" 6 0
"p11" 6 0
"p13" 6 0
"q20" 6 0
"p17" 6 0
"p19" 6 0
"q18" 6 0
"q16" 6 0
"q14" 6 0
"q12" 6 0
"q10" 6 0
"q8" 6 0
"q6" 6 0
"q4" 6 0
"q2" 6 0
"r1" 6 0
"r3" 6 0
"r5" 6 0
"r7" 6 0
"r9" 6 0
"r11" 6 0
"r13" 6 0
"r15" 6 0
"r17" 6 0
"r19" 6 0
"s20" 6 0
"s18" 6 0
"s16" 6 0
"s14" 6 0
"s12" 6 0
"s10" 6 0
"s8" 6 0
"s6" 6 0
"s4" 6 0
"s2" 6 0
"t1" 6 0
"t3" 6 0
"t5" 6 0
"t7" 6 0
"t9" 6 0
"t11" 6 0
"t13" 6 0
"t14" 11 0
"t17" 6 0
"t19" 6 0
"p20" 11 0
"p18" 11 0
"p16" 11 0
"p14" 11 0
"p12" 11 0
"p10" 11 0
"p8" 11 0
"p6" 11 0
"p4" 11 0
"p2" 11 0
"q1" 11 0
"q3" 11 0
"q5" 11 0
"q7" 11 0
"q9" 11 0
"q11" 11 0
"q13" 11 0
"q15" 11 0
"q17" 11 0
"q19" 11 0
"r20" 11 0
"r18" 11 0
"r16" 11 0
"r14" 11 0
"r12" 11 0
"r10" 11 0
"r8" 11 0
"r6" 11 0
"r4" 11 0
"r2" 11 0
"s1" 11 0
"s3" 11 0
"s5" 11 0
"s7" 11 0
"s9" 11 0
"s11" 11 0
"s13" 11 0
"s15" 11 0
"s17" 11 0
"s19" 11 0
"t20" 11 0
"t18" 11 0
"t16" 11 0
"t10" 11 0
"t12" 11 0
"t8" 11 0
"t6" 11 0
"t4" 11 0
"t2" 11 0
"t15" 6 0
"h18" 4 0
"g18" 4 0
"f18" 4 0
"f17" 4 0
"g17" 4 0
"h17" 4 0
"i17" 4 0
"j17" 4 0
"k17" 4 0
"l17" 4 0
"m17" 4 0
"n17" 4 0
"o17" 4 0
"o16" 4 0
"n16" 4 0
"m16" 4 0
"l16" 4 0
"k16" 4 0
"j16" 4 0
"i16" 4 0
"h16" 4 0
"g16" 4 0
"f16" 4 0
"f15" 4 0
"g15" 4 0
"g14" 4 0
"f14" 4 0
"f13" 4 0
"g13" 4 0
"f12" 4 0
"f11" 4 0
"f10" 4 0
"f9" 4 0
"f8" 4 0
"f7" 4 0
"g7" 4 0
"h7" 4 0
"i7" 4 0
"j7" 4 0
"k7" 4 0
"l7" 4 0
"m7" 4 0
"n7" 4 0
"o7" 4 0
"o6" 4 0
"n6" 4 0
"m6" 4 0
"l6" 4 0
"k6" 4 0
"j6" 4 0
"i6" 4 0
"h6" 4 0
"g6" 4 0
"f6" 4 0
"f5" 4 0
"g5" 4 0
"h5" 4 0
"i5" 4 0
"j5" 4 0
"k5" 4 0
"l5" 4 0
"m5" 4 0
"n5" 4 0
"o5" 4 0
"o4" 4 0
"n4" 4 0
"m4" 4 0
"l4" 4 0
"k4" 4 0
"j4" 4 0
"i4" 4 0
"h4" 4 0
"g4" 4 0
"f4" 4 0
"f3" 4 0
"g3" 4 0
"h3" 4 0
"i3" 4 0
"j3" 4 0
"k3" 4 0
"l3" 4 0
"m3" 4 0
"n3" 4 0
"o3" 4 0
"o2" 4 0
"n2" 4 0
"m2" 4 0
"l2" 4 0
"k2" 4 0
"j2" 4 0
"i2" 4 0
"h2" 4 0
"g2" 4 0
"f2" 4 0
"f1" 4 0
"g1" 4 0
"h1" 4 0
"i1" 4 0
"j1" 4 0
"k1" 4 0
"l1" 4 0
"m1" 4 0
"n1" 4 0
"o1" 4 0
"o8" 4 0
"o9" 4 0
"o10" 4 0
"o11" 4 0
"o12" 4 0
"o13" 4 0
"n13" 4 0
"n14" 4 0
"o14" 4 0
"o15" 4 0
"n15" 4 0
"m15" 4 0
"l15" 4 0
"o18" 4 0
"n18" 4 0
"m18" 4 0
"l18" 4 0
"k18" 4 0
"j18" 4 0
"i18" 4 0
"i19" 4 0
"h19" 4 0
"g19" 4 0
"f19" 4 0
"f20" 4 0
"g20" 4 0
"h20" 4 0
"i20" 4 0
"j20" 4 0
"k20" 4 0
"l20" 4 0
"m20" 4 0
"n20" 4 0
"o20" 4 0
"o19" 4 0
"n19" 4 0
"m19" 4 0
"l19" 4 0
"k19" 4 0
"j19" 4 0
